ID,Nome,Squadra,Ruolo,Ruolo_Dettaglio,Fuori_lista,Tiratore_CP,Media_Voto,FantaMedia,FantaMedia_Prevista,Titolarita,Prezzo,Obiettivo,Nota
572,Meret,Napoli,P,Pt,0,0,6.12,5.12,,50,10,,
2170,Milinkovic-Savic V.,Napoli,P,Pt,0,0,6.33,6.67,,50,12,,
2845,Contini,Napoli,P,Pt,1,0,0,0,,0,1,,
7285,Ferrante,Napoli,P,Pt,1,0,0,0,,0,1,,
256,Juan Jesus,Napoli,D,DC,1,0,5.86,5.71,,20,4,,
1852,Spinazzola,Napoli,D,"Terzino,Esterno",1,0,6.5,7.19,,70,14,,
2724,Buongiorno,Napoli,D,DC,0,0,6.14,6.29,,80,11,,
2816,Di Lorenzo,Napoli,D,Terzino,0,0,5.95,5.9,,100,10,,
4409,Rrahmani,Napoli,D,DC,1,0,6.33,6.33,,70,7,,
5427,Gutierrez,Napoli,D,Terzino,0,0,5.75,5.75,,50,4,,
5481,Mazzocchi,Napoli,D,Terzino,1,0,0,0,,40,1,,
5840,Olivera,Napoli,D,Terzino,0,0,5.58,5.5,,70,6,,
6202,Beukema,Napoli,D,DC,0,0,5.75,6.5,,80,10,,
6809,Marianucci,Napoli,D,DC,1,0,4.5,4.5,,40,1,,
536,Politano,Napoli,C,"Esterno,Ala",0,0,6.15,6.2,,90,14,,
2517,De Bruyne,Napoli,C,"CC,COC",0,1,6.38,7.81,,100,26,,
4220,Zambo Anguissa,Napoli,C,CC,0,0,6.6,7.85,,100,24,,
4287,Lobotka,Napoli,C,CDC,1,0,6,6,,100,8,,
4479,Elmas,Napoli,C,"CC,COC,Esterno",1,0,5.67,5.58,,60,8,,
4777,McTominay,Napoli,C,"COC,CC,Ala",0,0,6.44,7.22,,100,25,,
5131,Gilmour,Napoli,C,CDC,1,0,6,6.42,,50,10,,
6831,Neres,Napoli,C,"Ala,Esterno",0,0,6.06,6.25,,70,11,,
7223,Vergara,Napoli,C,COC,1,0,0,0,,40,1,,
2531,Lukaku,Napoli,A,ATT,0,0,0,0,,70,20,,
6052,Hojlund,Napoli,A,ATT,0,0,6,7,,70,22,,
6215,Lucca,Napoli,A,ATT,0,0,5.71,6.07,,40,10,,
7120,Lang,Napoli,A,Ala,0,0,6.12,6,,50,13,,
7264,Ambrosino,Napoli,A,ATT,1,0,5.5,5.5,,10,2,,
2815,Terracciano,Milan,P,Pt,0,0,6,6,,10,2,,
4312,Maignan,Milan,P,Pt,0,0,6.22,5.78,,100,17,,
6813,Torriani,Milan,P,Pt,0,0,0,0,,0,1,,
4401,Gabbia,Milan,D,DC,1,0,6.05,6,,80,9,,
4751,Tomori,Milan,D,DC,0,0,5.94,5.81,,90,7,,
5022,Pavlovic,Milan,D,DC,0,0,6.4,7,,90,16,,
5273,Estupinan,Milan,D,"Terzino,Esterno",0,0,5.9,5.8,,70,7,,
5739,De Winter,Milan,D,DC,1,0,5.7,5.7,,60,5,,
6496,Bartesaghi,Milan,D,"Terzino,Esterno",1,0,6.08,6,,50,5,,
7211,Athekame,Milan,D,"Terzino,Esterno",1,0,5.67,6.33,,50,5,,
7271,Odogu,Milan,D,"Terzino,Esterno",1,0,0,0,,40,1,,
2379,Rabiot,Milan,C,CC,0,0,6.62,6.75,,100,20,,
2423,Pulisic,Milan,C,"CC,COC,SP,Ala,Esterno",0,1,6.92,8.75,,100,28,,
2606,Modric,Milan,C,"CC,CDC",0,1,6.65,7.1,,100,20,,
4199,Loftus-Cheek,Milan,C,"CC,COC",1,0,6.21,6.64,,60,12,,
4686,Fofana Y.,Milan,C,CC,0,0,5.95,6.2,,60,13,,
4892,Saelemaekers,Milan,C,"Terzino,Esterno",0,0,6.3,6.65,,80,17,,
5453,Ricci S.,Milan,C,"CDC,CC",1,0,6.21,6.64,,70,12,,
7203,Jashari,Milan,C,CC,0,0,5.5,5.5,,60,7,,
4510,Leao,Milan,A,"Ala,SP,ATT",0,0,6.17,7.83,,100,25,,
4728,Nkunku,Milan,A,"SP,COC,ATT",0,0,5.7,5.7,,70,16,,
7008,Gimenez,Milan,A,ATT,0,0,5.56,5.5,,70,16,,
7262,Balentien,Milan,A,ATT,1,0,0,0,,10,1,,
218,Perin,Juventus,P,Pt,0,0,6,5,,10,1,,
1930,Pinsoglio,Juventus,P,Pt,1,0,0,0,,0,1,,
5876,Di Gregorio,Juventus,P,Pt,0,0,6.11,5.06,,100,13,,
294,Rugani,Juventus,D,DC,0,0,5.75,5.75,,50,2,,
2788,Bremer,Juventus,D,DC,0,0,6.38,6.88,,100,12,,
4976,Kalulu,Juventus,D,"DC,Terzino",0,0,6,6,,80,9,,
5520,Cambiaso,Juventus,D,"Terzino,Esterno",0,0,5.81,6.19,,100,11,,
5831,Gatti,Juventus,D,DC,0,0,5.89,6.06,,80,8,,
6039,Cabal,Juventus,D,"DC,Terzino,Esterno",1,0,6.25,7.75,,60,6,,
6766,Kelly L.,Juventus,D,DC,1,0,5.89,6.06,,70,9,,
7175,Joao Mario,Juventus,D,"Terzino,Esterno",0,0,5.75,5.88,,40,5,,
827,Locatelli,Juventus,C,"CDC,CC",0,0,6.28,6.11,,90,11,,
4711,Kostic,Juventus,C,"Esterno,Ala",1,0,6.38,7.38,,50,9,,
4973,McKennie,Juventus,C,"CC,Esterno,COC",1,0,5.79,5.71,,60,7,,
5562,Thuram K.,Juventus,C,CC,0,0,6,6.33,,90,16,,
5685,Koopmeiners,Juventus,C,"DC,CC,COC,CDC",0,1,5.69,5.44,,80,8,,
5761,Zhegrova,Juventus,C,"Ala,COC",0,0,6.5,6.5,,50,15,,
5813,Miretti,Juventus,C,"COC,CC,Ala",1,0,0,0,,40,1,,
6677,Adzic,Juventus,C,"COC,CC",1,0,6.17,7.17,,60,4,,
6884,Conceicao,Juventus,C,"COC,Ala",0,0,6.21,6.64,,70,17,,
2012,Milik,Juventus,A,ATT,1,0,0,0,,0,1,,
